,titol,descripcio,origen
166,Catàleg de fotografies d'elements urbans al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Fotografies d’elements urbans com bancs, fonts, marquesines, enllumenat i d’espais de la ciutat com parcs, estacions del Bicing
",barcelona
167,Catàleg de fotografies de plans i projectes urbanístics al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC) ,"
Fotografies referents a la planificació urbanística de la ciutat. S’inclouen imatges de projectes urbans: maquetes, plànols ; anteriors, durant les obres i posteriors a la realització d’aquestes
",barcelona
168,Catàleg de documents de la col·lecció L'Havana-Barcelona al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documentació d’institucions municipals i externes que ha servit de base per la confecció d’un projecte museístic sobre la relació històrica entre Barcelona i La Havana durant el període 1779-1936, fruit de la cooperació entre l’Ajuntament de Barcelona (Museu d'Història de Barcelona i Direcció de Justícia Global i Cooperació Internacional) i la Oficina del Historiador de la Ciudad de La Havana.
",barcelona
169,Catàleg de Informes d'avaluació  al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Catàleg de  Informes d'avaluació al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC)
",barcelona
170,Catàleg d'informes i estudis diversos al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documents que presenten una exposició sobre l'estat d'una qüestió o sobre els elements necessaris perquè es resolgui un afer
",barcelona
171, Catàleg d'informes presentats als Òrgans de Govern al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Exposicions d’assumptes d’interès municipal d’abast general o bé relatives a polítiques sectorials, que s’han presentat al Consell Municipal (Plenari i Comissions), als Consells de districtes o a altres òrgans de govern
",barcelona
172,Catàleg d'instruccions al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Ordres aprovades per un òrgan administratiu superior amb funció directiva dirigides als òrgans que jeràrquicament en depenen que incorporen una interpretació d’una disposició legal o reglamentària que han d'utilitzar en l'exercici de les seves funcions
",barcelona
173,Catàleg de laudes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Resolucions arbitrals que tenen el mateix caràcter que una sentència judicial, essent d'obligat compliment per les dues parts i produeixen efectes de cosa jutjada.
",barcelona
174,Catàleg de memòries al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documents que contenen la relació dels actes, els treballs, etc. efectuats per una societat, una corporació, etc, i també del resultat econòmic de l’activitat d’aquestes en un període determinat
",barcelona
175,Catàleg de mesures de govern al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Anticipació de polítiques o la informació d’iniciatives d’actuacions concretes del govern municipal exposades al Consell Municipal, en Plenari o en Comissió. [Reglament Orgànic Municipal, art. 63.2]
",barcelona
176,Catàleg de les dades obertes de l'Ajuntament de Barcelona - Open Data BCN,"
Catàleg de les dades obertes de l'Ajuntament de Barcelona (Open Data BCN).
",barcelona
177,Catàleg d'ordenances fiscals i preus públics al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Conjunts de normes, dins l'àmbit tributari local, que regulen els impostos, les taxes i les contribucions especials vigents per un període de temps determinat. S'inclouen també les taxes, una classe específica de tributs que paguen els ciutadans a les administracions públiques com a contraprestació per la prestació d'un servei o la realització d'una activitat que cap altre agent econòmic pot realitzar.
Els preus públics son contraprestacions dineràries que se satisfan a les administracions públiques per la prestació de serveis, sol·licitats voluntàriament pels ciutadans, o per la realització d'activitats en igualtat de condicions amb el sector privat
",barcelona
178,Catàleg d'ordenances municipals al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Ordenances municipals vigents i històriques de l’Ajuntament de Barcelona, dins del repositori institucional BCNROC. Les metadades inclouen un enllaç Handle que identifica de forma persistent el registre descriptiu de cada ordenança i els textos oficials que s’hi inclouen, en formats PDF i TXT.
",barcelona
179,Catàleg de plans especials al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documents que complementen la regulació de les ordenances municipals
",barcelona
180,Catàleg de plans estratègics al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Conjunts orgànics de directrius i de mesures polítiques i econòmiques adreçades a resoldre problemes o situacions determinats, que inclouen els mitjans per a aconseguir-los les responsabilitats i les dates d'acompliment
",barcelona
181,Catàleg de bases de  premis al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Reconeixement públic d'un mèrit concedit per encoratjar activitats diverses. Es recullen les bases.
",barcelona
182,Catàleg de pressupostos al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC) ,"
Documents que recullen, amb més o menys detall, els ingressos i les despeses que tindrà una entitat pública (estat, ajuntament, etc) durant un període determinat, que generalment és anual o bianual. El pressupost és el reflex financer de l'estratègia i prioritats municipals, on mitjançant el model de - Pressupost Executiu, els recursos pressupostaris s'assignen a aquells programes i actuacions que permeten avançar en un major grau envers els objectius definits en el Marc Estratègic
",barcelona
183,Catàleg de protocols al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Conjunts de regles o plans escrits i detallats per tractar de forma coordinada una determinada problemàtica o afrontar una determinada actuació. Sovint, el protocol obeeix a un posicionament comú, convencional i coordinat de diverses instàncies o sectors d’actuació en matèries nítidament de caire tècnic o tecnològic
",barcelona
184,Catàleg de publicacions al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Catàleg de publicacions al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC)
",barcelona
185,Catàleg de reglaments al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Disposicions de caràcter general aprovades pels òrgans de govern en exercici de la potestat d'auto-organització municipal [Carta Municipal, art. 26.2]. Segons els seus efectes, es poden classificar en jurídics o pròpiament normatius, i administratius o d'organització de la pròpia administració
",barcelona
186,Catàleg de documents del Registre d'Estudis i Informes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Estudis i informes (encarregats per l’Ajuntament de Barcelona, els seus organismes autònoms, les seves entitats públiques empresarials i les societats mercantils municipals o amb participació municipal majoritària) que es troben relacionats en el Registre d’estudis i informes, creat per acord del Plenari del Consell Municipal el novembre de 2009.
",barcelona
187,Catàleg de revistes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Catàleg de revistes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC)
",barcelona
188,Cementiris de la ciutat de Barcelona,"
Cementiris de la ciutat de Barcelona
",barcelona
189,Cens d'activitats econòmiques en planta baixa de la ciutat de Barcelona,"
Cens de locals de la ciutat de Barcelona amb l'objectiu d'identificar tots els locals en planta baixa amb activitat econòmica o sense activitat.
",barcelona
190,Llista de codis i descripcions de les activitats del cens d'activitats econòmiques de la ciutat de Barcelona,"
Llista de codis i descripcions de les activitats del cens d'activitats econòmiques de la ciutat de Barcelona.
",barcelona
191,Nombre d'animals de companyia censats a Barcelona,"
Nombre acumulat a cada districte dels animals de companyia inscrits al Registre censal de la ciutat de Barcelona.
",barcelona
192,Activitats de difusió dels centres cívics de la ciutat de Barcelona,"
Activitats de difusió dels centres cívics de la ciutat de Barcelona
",barcelona
193,Entitats usuàries dels centres cívics de la ciutat de Barcelona,"
Entitats usuàries dels centres cívics de la ciutat de Barcelona
",barcelona
194,Activitats de formació dels centres cívics de la ciutat de Barcelona,"
Es detallen dades relacionades amb les activitats de formació dels centres cívics de la ciutat de Barcelona, com són la pròpia activitat, el nombre d'assistents i els metres quadrats dels espais disponibles.
",barcelona
195,Metres quadrats dels centres cívics de la ciutat de Barcelona,"
Metres quadrats dels centres cívics de la ciutat de Barcelona.
",barcelona
196,Dades globals dels cinemes de la ciutat de Barcelona,"
Dades globals dels cinemes de circuit comercial de la ciutat de Barcelona
",barcelona
197,"Cobertura vegetal de la ciutat de Barcelona, a partir de l'índex NVDI, vista des del cel ","
Es tracta de la primera identificació  de la infraestructura verda de Barcelona a partir de l'índex NVDI, que per una banda  quantifica el verd real de Barcelona i caracteritza la seva distribució en relació a diversos paràmetres administratius i urbanístics que ajuden a entendre possibles mancances territorials i també a trobar instruments per superar-les i per altra banda,  planteja generar una base d’infraestructura verda de la ciutat, que serveixi per anar-la dotant dels continguts, funcions i serveis ambientals que realitza.
",barcelona
198,Informació dels colors dels aparcaments en superfície a la ciutat de Barcelona,"
Informació dels colors dels aparcaments regulats en superfície a la ciutat de Barcelona.
",barcelona
199,Comissaries de policia a la ciutat de Barcelona,"
Comissaries de policia a la ciutat de Barcelona
",barcelona
200,Compatibilitats autoritzades de l'Ajuntament de Barcelona i els seus organismes autònoms i entitats públiques empresarials,"
El personal municipal que vulgui exercir una segona activitat pública, o una activitat privada, ha de sol·licitar l'autorització o el reconeixement de la compatibilitat. El dataset conté la relació del personal de l'Ajuntament de Barcelona, els seus organismes autònoms i les seves entitats públiques empresarials que té autoritzat l'exercici d'aquesta segona activitat a la data d'actualització.
",barcelona
201,Compliment d'objectius d'estabilitat pressupostària de la ciutat de Barcelona,"
Informació del compliment dels objectius derivats de la normativa en estabilitat pressupostària.
",barcelona
202,Consolats a la ciutat de Barcelona,"
Consolats a la ciutat de Barcelona
",barcelona
203,Contaminants mesurats per les estacions de mesura de qualitat de l'aire de la ciutat de Barcelona,"
Llista dels contaminants atmosfèrics mesurats per cadascuna de les estacions de mesura de la qualitat de l'aire de la ciutat de Barcelona.
",barcelona
204,Contractes menors de l'Ajuntament de Barcelona i entitats municipals,"
Llistat de tots els contractes per valor (sense IVA) inferior a 15.000, en el cas de contractació de serveis i subministraments, i a 40.000, en el cas d'obres, que han subscrit l'Ajuntament de Barcelona i les seves entitats municipals.
Es facilita la informació dels contractes que s'han adjudicat en el període corresponent i de l'import total adjudicat, independentment de l'exercici en el que efectivament es produirà la despesa.
",barcelona
205,Contractes menors derivats d'una autorització genèrica de despesa de l'Ajuntament de Barcelona,"
Llistat de tots els contractes menors derivats d'una autorització genèrica de despesa de l'Ajuntament de Barcelona.
La freqüència d'actualització de les dades indicada és susceptible a un decalatge degut a les operacions de recollida i depuració de les dades.
",barcelona
206,Corredors bicicleta de la ciutat de Barcelona,"
Corredors bicicleta de la ciutat de Barcelona
",barcelona
207,Biblioteques i museus de la ciutat de Barcelona,"
Llista de biblioteques i museus de la ciutat de Barcelona que inclou les biblioteques i les biblioteques municipals, museus, sales d'estudi...
",barcelona
208,"Cinemes, teatres i auditoris de la ciutat de Barcelona","
Llista de cinemes, teatres i auditoris de la ciutat de Barcelona que inclou auditoris, cinemes, teatres...
",barcelona
209,Àrees de jocs infantils  a la ciutat de Barcelona,"
Àrees de jocs infantils  a la ciutat de Barcelona
",barcelona
210,Espais de música i copes de la ciutat de Barcelona,"
Llista dels espais de música i copes de la ciutat de Barcelona que inclou bars i pubs musicals, cocteleries, discoteques, karaokes, sales de festes, salons de ball, tablaos flamencs...
",barcelona
211,Espais de participació ciutadana de la ciutat de Barcelona,"
Llista dels espais de participació ciutadana de la ciutat de Barcelona que inclou ateneus de fabricació, casals d'avis, casals de barri, casals i espais per a joves, casals infantils, centres cívics...
",barcelona
212,Parcs i jardins de la ciutat de Barcelona,"
Llistat dels parcs, jardins i interiors d'illa de la ciutat de Barcelona.
",barcelona
213,Dades de les sales d'arts escèniques de la ciutat de Barcelona,"
Dades d'aforaments, entrades, espectacles, espectadors i funcions de les sales d'arts escèniques de la ciutat de Barcelona.
",barcelona
214,Dades dels arxius de la ciutat de Barcelona,"
Dades dels usuaris i les consultes als arxius de la ciutat de Barcelona.
",barcelona
215,Dades dels ateneus de la ciutat de Barcelona,"
Dades dels ateneus de la ciutat de Barcelona
",barcelona
216,Dades de les festes de la ciutat de Barcelona,"
Dades de les festes de la ciutat de Barcelona
",barcelona
217,Dades del Festival Grec de Barcelona,"
Dades dels espectacles del Festival Grec de Barcelona per gèneres
",barcelona
218,Dades d'assistència als festivals i fires de la ciutat de Barcelona,"
Dades referents a l'assistència als festivals i fires de la ciutat de Barcelona
",barcelona
219,Dades de cultura de la ciutat de Barcelona,"
Dades globals de cultura de la ciutat de Barcelona.
",barcelona
220,Dades dels grans auditoris de la ciutat de Barcelona,"
Dades dels grans auditoris de la ciutat de Barcelona.
",barcelona
221,Assistents a les festes de la Mercè de la ciutat de Barcelona,"
Assistents a les activitats emblemàtiques de les festes de la Mercè de la ciutat de Barcelona
",barcelona
222,Dades de museus i exposicions de la ciutat de Barcelona,"
Dades en relació a públic i col·leccions dels museus i exposicions de la ciutat de Barcelona.
",barcelona
223,Projectes de creació de les Fàbriques de Creació de la ciutat de Barcelona,"
Projectes de creació de les Fàbriques de Creació de la ciutat de Barcelona
",barcelona
224,Dades de les sales de música en viu de la ciutat de Barcelona,"
Dades de les sales de música en viu de la ciutat de Barcelona
",barcelona
225,Dades sindicals de l'Ajuntament de Barcelona i les seves entitats municipals,"
Dades dels alliberaments sindicals de l'Ajuntament i les seves entitats municipals: nombre de persones, hores sindicals utilitzades, i costos generats per a l'Administració municipal.
",barcelona
226,Dades de la xarxa de biblioteques de la ciutat de Barcelona,"
Dades de la xarxa de biblioteques de la ciutat de Barcelona
",barcelona
227,Fitxes  d'indicadors socioeconòmics de la divisió territorial barri de la ciutat de Barcelona,"
Fitxes  d'indicadors socioeconòmics de la divisió territorial barri de la ciutat de Barcelona
",barcelona
228,Dutxes públiques de la ciutat de Barcelona,"
Dutxes públiques de les platges i altres centres de la ciutat de Barcelona.
",barcelona
229,Enquesta de Benestar Subjectiu de la Infància a la ciutat de Barcelona ,"
Enquesta de Benestar Subjectiu de la Infància a la ciutat de Barcelona
",barcelona
230,Edificis Amics de la Bici dels equipaments públics de la ciutat de Barcelona ,"
Equipaments públics de la ciutat de Barcelona amb l'objectiu de fomentar l'ús de la bicicleta entre els treballadors.  Es publiquen els auditats ja certificats o en fase de certificació.
",barcelona
231,Ensenyament infantil de la ciutat de Barcelona,"
Llista dels equipaments d'educació infantil de la ciutat de Barcelona per nens i nenes des del naixement fins els sis anys d’edat.
",barcelona
232,Ensenyament no reglat de la ciutat de Barcelona,"
Centres d'ensenyament de la ciutat de Barcelona que ofereixen cursos no reglats.
",barcelona
233,Ensenyament reglat de la ciutat de Barcelona,"
Centres d'ensenyament de la ciutat de Barcelona que ofereixen cursos reglats.
",barcelona
234,Enquesta sobre la bretxa digital a la ciutat de Barcelona  ,"
Enquesta sobre la bretxa digital a la ciutat de Barcelona
",barcelona
235,Entitats del pacte per la mobilitat a la ciutat de Barcelona,"
Entitats del pacte per la mobilitat a la ciutat de Barcelona.
",barcelona
236,Fitxer General d'Entitats Ciutadanes de la ciutat de Barcelona,"
El Fitxer General d'Entitats Ciutadanes és un dels instruments de relació de l'Ajuntament de Barcelona amb les entitats de la ciutat. La seva creació és prevista a les Normes Reguladores de la Participació Ciutadana (art. 9) i està reglamentat mitjançant les Normes Reguladores del Fitxer General d'Entitats Ciutadanes (B.O.P. 26/2/2004).
",barcelona
237,Relació d'Entitats Municipals de la ciutat de Barcelona segons criteris de consolidació pressupostària,"
Relació d'Entitats Municipals segons criteris de consolidació pressupostària.
",barcelona
238,Llista d'equipaments d'administració pública de la ciutat de Barcelona,"
Equipaments de la tipologia Administració que hi ha a la ciutat de Barcelona: Administració local, autonòmica, perifèrica, central, europea i internacional; també inclou els equipaments de relacions amb l'estranger i altres organismes locals.
",barcelona
239,Llista d'equipaments d'animals i les plantes de la ciutat de Barcelona,"
Equipaments de la tipologia Animals i plantes que hi ha a la ciutat de Barcelona: centres de jardineria, veterinaris, floristeries, perruqueries canines, residències d'animals i d'altres.
",barcelona
240,Llista d'equipaments d'associacions de la ciutat de Barcelona,"
Equipaments de la tipologia Associacions que hi ha a la ciutat de Barcelona: associacions de l'àmbit de l'esport, de medi ambient, de partits polítics, de suport social, d'oci, culturals, de cooperació internacional, d'agricultura, d'educació, d'economia, de salut, d'alimentació, d'ONG i d'altres.
",barcelona
241,Llista d'equipaments de cementiris i serveis relacionats de la ciutat de Barcelona,"
Equipaments de la tipologia Cementiris que hi ha a la ciutat de Barcelona: cementiris públics, cementiris privats, cementiris d'animals, crematoris, tanatoris, sales de vetlla.
",barcelona
242,Llista d'equipaments de centres d'informació de la ciutat de Barcelona,"
Equipaments de la tipologia Centres d'informació que hi ha a la ciutat de Barcelona: centres d'atenció al ciutadà, d'informació al consumidor, per als joves, per a les dones, per a la gent gran, per a persones amb discapacitat, d'informació jurídica, d'informació laboral, d'informació turística i d'altres.
",barcelona
243,Llista d'equipaments de companyies de serveis de la ciutat de Barcelona,"
Equipaments de la tipologia Empreses de serveis que hi ha a la ciutat de Barcelona: aigua, gas, electricitat, correus, telefonia i proveïdors d'internet.
",barcelona
244,Llista d'espais i equipaments de cultura i lleure de la ciutat de Barcelona,"
Espais i equipaments de la tipologia Cultura i lleure que hi ha a la ciutat de Barcelona: biblioteques, cinemes, llibreries, museus, parcs, miradors, platges, teatres, sales de concerts, auditoris i d'altres.
",barcelona
245,Llista d'equipaments d'educació de la ciutat de Barcelona,"
Equipaments de la tipologia Educació que hi ha a la ciutat de Barcelona: centres d'educació infantil, primària, secundària, professional i universitària, autoescoles, centres de normalització lingüística, formació ocupacional, educació especial, escoles taller, educació permanent d'adults i d'altres.
",barcelona
246,Llista d'equipaments d'esports de la ciutat de Barcelona,"
Equipaments de la tipologia Esports que hi ha a la ciutat de Barcelona: clubs esportius, federacions esportives, penyes esportives i instal·lacions esportives.
",barcelona
247,Llista d'equipaments de medi ambient i serveis relacionats de la ciutat de Barcelona,"
Equipaments de la tipologia Medi ambient que hi ha a la ciutat de Barcelona: punts verds, estacions biològiques, dipòsits d'aigües pluvials, contenidors de sal i d'altres.
",barcelona
248,Llista d'equipaments de mercats i centres comercials de la ciutat de Barcelona,"
Equipaments de la tipologia Mercats i centres comercials que hi ha a la ciutat de Barcelona: galeries comercials, grans centres comercials, altres centres comercials, grans magatzems, mercats i fires al carrer, mercats municipals, supermercats i d'altres.
",barcelona
249,Llista d'equipaments de mitjans de comunicació i serveis relacionats de la ciutat de Barcelona,"
Equipaments de la tipologia Mitjans de comunicació que hi ha a la ciutat de Barcelona: agències de premsa, corresponsalies de premsa, diaris, butlletins oficials, ràdios, revistes i televisions.
",barcelona
250,Llista d'equipaments de restaurants de la ciutat de Barcelona,"
Equipaments de la tipologia restaurants que hi ha a la ciutat de Barcelona.
",barcelona
251,Llista d'equipaments de sanitat de la ciutat de Barcelona,"
Equipaments de la tipologia Sanitat que hi ha a la ciutat de Barcelona: centres d'atenció primària, hospitals, centres mèdics privats, farmàcies, servei d'ambulàncies, centres de salut mental, drogodependències, laboratoris d'anàlisis clíniques i d'altres.
",barcelona
252,Llista d'equipaments de serveis religiosos de la ciutat de Barcelona,"
Equipaments de la tipologia Serveis religiosos que hi ha a la ciutat de Barcelona: centres de les religions cristiana, budista, islàmica, jueva, hinduista, taoista i d'altres.
",barcelona
253,Llista d'equipaments de serveis socials de la ciutat de Barcelona,"
Equipaments de la tipologia Serveis socials que hi ha a la ciutat de Barcelona: centres d'atenció a la dona, a la infància i a l'adolescència, equips d'inserció laboral, menjadors socials, residències per a la gent gran, centres d'atenció a la immigració, centres de dia i d'altres.
",barcelona
254,Llista d'equipaments de transports i serveis relacionats de la ciutat de Barcelona,"
Equipaments de la tipologia Transports i serveis relacionats que hi ha a la ciutat de Barcelona: aparcaments, carrils bici, gasolineres, lloguer de vehicles; transports aeris, marítims, terrestres i especials, cotxes multiusuari (carsharing) i d'altres.
",barcelona
255,Equipaments culturals de la ciutat de Barcelona,"
Dades dels equipaments culturals de la ciutat de Barcelona
",barcelona
256,Equipaments relacionats amb transports de la ciutat de Barcelona,"
Equipaments relacionats amb transports de la ciutat de Barcelona.
",barcelona
257,Escales mecàniques de la ciutat de Barcelona,"
Escales mecàniques de la ciutat de Barcelona.
",barcelona
258,Enquesta de Serveis Municipals de la ciutat de Barcelona - Evolució,"
L'Enquesta de Serveis Municipals, també disponible en un Visualitzador Interactiu, és un estudi quantitatiu presencial amb periodicitat anual i amb univers dels barcelonins i barcelonines de 18 anys i més. En aquest estudi es recull la percepció dels ciutadans sobre la ciutat i el seu barri (grau de satisfacció, problemes i demandes, evolució, etc.) i la seva opinió sobre la gestió municipal.
Es tracta d’una enquesta amb dos aspectes que li atorguen un enorme potencial analític. En primer lloc, la seva llarga trajectòria permet una sòlida anàlisi evolutiva i, en segon, la grandària de la mostra possibilita l’anàlisi territorial, no només a nivell de districte sinó també de gran barri. A aquests dos nivells d’anàlisi afegim un tercer: l’anàlisi comparativa, ja que els principals indicadors es presenten comparats per als àmbits de Barcelona, Catalunya i Espanya.
El qüestionari està estructurat en tres parts: una primera part amb preguntes sobre la ciutat i el barri que es fan a tots els entrevistats, una segona amb qüestions específiques sobre cadascun dels deu districtes municipals que es pregunten només als entrevistats residents al districte en qüestió  i una tercera que recull el perfil de tots els entrevistats. En aquest dataset es proporcionen les dades globals de ciutat, des de l'any 1989, sense incloure les preguntes específiques de districte. Les dades es faciliten en un únic fitxer, estructurat en funció de la darrera edició de l’enquesta. 
En el Registre d'Enquestes i d'Estudis d'Opinió es publica més informació de l'enquesta anual (encreuaments, dades d'evolució i informes).
",barcelona
259,Activitats de difusió dins de les Fàbriques de Creació de la ciutat de Barcelona,"
Activitats de difusió dins de les Fàbriques de Creació de la ciutat de Barcelona
",barcelona
260,Activitats de formació per a professionals a les Fàbriques de Creació de la ciutat de Barcelona,"
Activitats de formació per a professionals a les Fàbriques de Creació de la ciutat de Barcelona
",barcelona
261,Metres quadrats de les Fàbriques de Creació de Barcelona,"
Metres quadrats dels equipaments de la xarxa de Fàbriques de Creació de Barcelona.
",barcelona
262,Estat dels espais prioritaris en neteja de la ciutat de Barcelona,"
Llistat i estat mensual dels espais prioritaris de la ciutat de Barcelona en referència a problemàtiques de neteja. Les dades s'obtenen en el marc de la Campanya per la millora de la neteja de la ciutat de Barcelona realitzada des de gener de 2019.
Les dades apareixen dividides en dos arxius: un csv en format long (consulta què és el format long i wide a les FAQs) que conté el llistat d'espais, la superfície corresponent en metres quadrats, el nombre de visites mensual a cada espai i la mitjana d'objectes problemàtics mensuals trobats a cada espai; una shapefile amb una taula d'atributs, que és la mateixa que l’arxiu .csv i amb sistema de referència de coordenades ETRS89 / UTM zona 31N. Fins al febrer de 2019 es mesurava l'estat dels punts crítics en neteja de la ciutat de Barcelona i es pot consultar el dataset en aquest enllaç.
",barcelona
263,Esports d'equip de la ciutat de Barcelona,"
Centres esportius que inclouen programes d'esports d'equip a la ciutat de Barcelona.
",barcelona
264,Esports individuals de la ciutat de Barcelona,"
Centres esportius que inclouen programes d'esports individuals a la ciutat de Barcelona.
",barcelona
265,Instal·lacions esportives de la ciutat de Barcelona,"
Instal·lacions esportives de la ciutat de Barcelona.
",barcelona
266,Atur registrat segons durada de la ciutat de Barcelona,"
Nombre de persones aturades registrades a la ciutat de Barcelona segons el temps que estan sense ocupació
",barcelona
267,Pes del atur registrat de la població de 16 a 64 anys de la ciutat de Barcelona,"
Pes del atur registrat de la població de 16 a 64 anys de la ciutat de Barcelona.
",barcelona
268,Atur registrat de la ciutat de Barcelona,"
Atur registrat de la ciutat de Barcelona
",barcelona
269,Quotes cadastrals segons l'ús del càrrec de la ciutat de Barcelona,"
Quotes cadastrals segons l'ús del càrrec de la ciutat de Barcelona.
",barcelona
270,Càrrecs cadastrals segons el tipus de propietari de la ciutat de Barcelona,"
Càrrecs cadastrals segons el tipus de propietari de la ciutat de Barcelona.
",barcelona
271,Càrrecs cadastrals segons l'ús del càrrec de la ciutat de Barcelona,"
Càrrecs cadastrals segons l'ús del càrrec de la ciutat de Barcelona
",barcelona
272,Valors cadastrals dels càrrecs de la ciutat de Barcelona,"
Valors cadastrals dels càrrecs de la ciutat de Barcelona.
",barcelona
273,Nombre d'edificacions cadastrals segons l'any de construcció de la ciutat de Barcelona,"
Nombre d'edificacions cadastrals segons l'any de construcció.
",barcelona
274,Edat mitjana de les edificacions cadastrals de la ciutat de Barcelona,"
Edat mitjana de les edificacions cadastrals a la ciutat de Barcelona.
",barcelona
275,Nombre d'edificacions cadastrals segons el nombre de locals de la ciutat de Barcelona,"
Nombre d'edificacions cadastrals segons el nombre de locals.
",barcelona
276,Superfície dels locals i dels serveis de les edificacions cadastrals de la ciutat de Barcelona,"
Superfície dels locals i dels serveis (m2) de les edificacions cadastrals.
",barcelona
277,Nombre de finques cadastrals segons el règim de propietat de la ciutat de Barcelona,"
Nombre de finques cadastrals segons el règim de propietat de la ciutat de Barcelona.
",barcelona
278,Superfície de les finques cadastrals de la ciutat de Barcelona,"
Superfície de les finques cadastrals de la ciutat de Barcelona.
",barcelona
279,Nombre dels locals d'habitatge segons l’any de construcció de la ciutat de Barcelona,"
Detall del nombre dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l'habitatge segons l’any de construcció.
",barcelona
280,Edat mitjana dels locals d'habitatge de la ciutat de Barcelona,"
Detall de l'edat mitjana dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l'habitatge.
",barcelona
281,Nombre i superfície dels locals d'habitatge segons tipus de propietari de la ciutat de Barcelona,"
Detall del nombre i superfície dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l'habitatge segons tipus de propietari.
",barcelona
282,Nombre dels locals d'habitatge segons superfície de la ciutat de Barcelona,"
Detall del nombre dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l'habitatge segons superficie.
",barcelona
283,Superfície mitjana dels locals d'habitatge de la ciutat de Barcelona,"
Detall de la superfície mitjana dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l’habitatge.
",barcelona
284,Valors cadastrals i valors unitaris dels locals d'habitatge de la ciutat de Barcelona,"
Detall dels valors cadastrals i valors unitaris dels locals de la ciutat de Barcelona que tenen com a ús i destinació principal l'habitatge.
",barcelona
285,"Nombre, superfície i valor dels locals cadastrals segons tipus de propietari de la ciutat de Barcelona ","
Nombre, superfície i valor dels locals cadastrals segons tipus de propietari de la ciutat de Barcelona
",barcelona
286,Superfície dels locals cadastrals segons destinació principal de la ciutat de Barcelona,"
Superfície dels locals cadastrals segons destinació principal de la ciutat de Barcelona
",barcelona
287,"Nombre, superfície i valor dels locals cadastrals segons ús i destinació principal de la ciutat de Barcelona","
Nombre, superfície i valor dels locals cadastrals segons ús i destinació principal de la ciutat de Barcelona.
",barcelona
288,Valors cadastrals total i unitaris dels locals de la ciutat de Barcelona,"
Valors cadastrals total i unitaris dels locals de la ciutat de Barcelona
",barcelona
289,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons sexe,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons sexe
",barcelona
290,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons edat quinquennal,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons edat quinquennal
",barcelona
291,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons lloc de naixement,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons lloc de naixement
",barcelona
292,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons nacionalitat,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per omissió segons nacionalitat
",barcelona
293,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons edat quinquennal,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons edat quinquennal
",barcelona
294,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons lloc de naixement ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons lloc de naixement
",barcelona
